State,Price(USD)
California,28901250145
Florida,20684693815
Texas,11848352989
Arizona,6826183443
Washington,6103754769
New York,5756934827
Colorado,4602270227
Pennsylvania,4281628612
Oregon,4066494819
Illinois,4042486407
